source_x,title,abstract,publish_time,authors,journal
PMC,"Laboratory-based respiratory virus surveillance pilot project on select cruise ships in Alaska, 2013–15()","BACKGROUND: Influenza outbreaks can occur among passengers and crews during the Alaska summertime cruise season. Ill travellers represent a potential source for introduction of novel or antigenically drifted influenza virus strains to the United States. From May to September 2013–2015, the Alaska Division of Public Health, the Centers for Disease Control and Prevention (CDC), and two cruise lines implemented a laboratory-based public health surveillance project to detect influenza and other respiratory viruses among ill crew members and passengers on select cruise ships in Alaska. METHODS: Cruise ship medical staff collected 2–3 nasopharyngeal swab specimens per week from passengers and crew members presenting to the ship infirmary with acute respiratory illness (ARI). Specimens were tested for respiratory viruses at the Alaska State Virology Laboratory (ASVL); a subset of specimens positive for influenza virus were sent to CDC for further antigenic characterization. RESULTS: Of 410 nasopharyngeal specimens, 83% tested positive for at least one respiratory virus; 71% tested positive for influenza A or B virus. Antigenic characterization of pilot project specimens identified strains matching predominant circulating seasonal influenza virus strains, which were included in the northern or southern hemisphere influenza vaccines during those years. Results were relatively consistent across age groups, recent travel history, and influenza vaccination status. Onset dates of illness relative to date of boarding differed between northbound (occurring later in the voyage) and southbound (occurring within the first days of the voyage) cruises. CONCLUSIONS: The high yield of positive results indicated that influenza was common among passengers and crews sampled with ARI. This finding reinforces the need to bolster influenza prevention and control activities on cruise ships. Laboratory-based influenza surveillance on cruise ships may augment inland influenza surveillance and inform control activities. However, these benefits should be weighed against the costs and operational limitations of instituting laboratory-based surveillance programs on ships.",2017-10-06,"Rogers, Kimberly B.; Roohi, Shahrokh; Uyeki, Timothy M.; Montgomery, David; Parker, Jayme; Fowler, Nisha H.; Xu, Xiyan; Ingram, Deandra J.; Fearey, Donna; Williams, Steve M.; Tarling, Grant; Brown, Clive M.; Cohen, Nicole J.",Journal of Travel Medicine
Medline; PMC,"Prevalence of Depression, Anxiety, and Stress among the General Population in Saudi Arabia during Covid-19 Pandemic","Coronavirus disease 2019 (COVID-19) pandemic has had a significant impact on public mental health. Our objective was to assess prevalence of depression, anxiety, and stress among the general population in Saudi Arabia during this pandemic. A descriptive cross-sectional approach was used targeting all accessible populations in Saudi Arabia. Data were collected from participants using an electronic pre-structured questionnaire. Psychological impact was assessed using the Arabic version of Depression, Anxiety, and Stress Scale (DASS-21). A total of 1597 participants completed the survey. In total, 17.1% reported moderate to severe depressive symptoms; 10% reported moderate to severe anxiety symptoms; and 12% reported moderate to severe stress levels. Depression, anxiety, and stress were significantly higher among females, younger respondents, and health care providers. Depression was higher among smokers, singles, and non-working respondents. Anxiety was higher among those reporting contacts with COVID-19 positive cases, previously quarantined and those with chronic health problems. Our findings reaffirm the importance of providing appropriate knowledge and specialized interventions to promote the mental well-being of the Saudi population, paying particular attention to high-risk groups.",2020-12-09,"Alamri, Hasan Saeed; Algarni, Abdullah; Shehata, Shehata F.; Al Bshabshe, Ali; Alshehri, Nada N.; ALAsiri, Abdalla M.; Hussain, Amjad H.; Alalmay, Abdulrahman Y.; Alshehri, Eman A.; Alqarni, Yahya; Saleh, Norah F.",Int J Environ Res Public Health
WHO,Rapid SARS-CoV-2 diagnosis using disposable strips and a metal-oxide-semiconductor field-effect transistor platform,"The SARS-CoV-2 pandemic has had a significant impact worldwide. Currently, the most common detection methods for the virus are polymerase chain reaction (PCR) and lateral flow tests. PCR takes more than an hour to obtain the results and lateral flow tests have difficulty with detecting the virus at low concentrations. In this study, 60 clinical human saliva samples, which included 30 positive and 30 negative samples confirmed with RT-PCR, were screened for COVID-19 using disposable glucose biosensor strips and a reusable printed circuit board. The disposable strips were gold plated and functionalized to immobilize antibodies on the gold film. After functionalization, the strips were connected to the gate electrode of a metal-oxide-semiconductor field-effect transistor on the printed circuit board to amplify the test signals. A synchronous double-pulsed bias voltage was applied to the drain of the transistor and strips. The resulting change in drain waveforms was converted to digital readings. The RT-PCR-confirmed saliva samples were tested again using quantitative PCR (RT-qPCR) to determine cycling threshold (Ct) values. Ct values up to 45 refer to the number of amplification cycles needed to detect the presence of the virus. These PCR results were compared with digital readings from the sensor to better evaluate the sensor technology. The results indicate that the samples with a range of Ct values from 17.8 to 35 can be differentiated, which highlights the increased sensitivity of this sensor technology. This research exhibits the potential of this biosensor technology to be further developed into a cost-effective, point-of-care, and portable rapid detection method for SARS-CoV-2.",2022,"Chiu, C. W.; Xian, M. H.; Stephany, J. L.; Xia, X. Y.; Chiang, C. C.; Ren, F.; Tsai, C. T.; Shan, S. S.; Liao, Y. T.; Esquivel-Upshaw, J. F.; Rananaware, S. R.; Nguyen, L. T.; Macaluso, N. C.; Jain, P. K.; Cash, M. N.; Mavian, C. N.; Salemi, M.; Leon, M. E.; Chang, C. W.; Lin, J. S.; Pearton, S. J.",Journal of Vacuum Science & Technology B
PMC,Thoracic fluid content: a novel parameter for predicting failed weaning from mechanical ventilation,"BACKGROUND: Weaning of patients from the mechanical ventilation remains one of the critical decisions in intensive care unit. This study aimed to evaluate the accuracy of thoracic fluid content (TFC) as a predictor of weaning outcome. METHODS: An observational cohort study included 64 critically ill surgical patients who were eligible for extubation. Before initiating the spontaneous breathing trial, the TFC was measured using the electrical cardiometry technology. Patients were followed up after extubation and divided into successful weaning group and failed weaning group. Both groups were compared according to respiratory and cardiovascular parameters. Receiver operating characteristic (ROC) curves were constructed to evaluate the ability of TFC to predict weaning outcome. RESULTS: The number of successfully weaned patients was 41/64 (64%). Twenty (31%) patients had impaired cardiac contractility, and of them, 13/20 (64%) patients were successfully extubated. Both groups, successful weaning group and failed weaning group, were comparable in most of baseline characteristics; however, the TFC was significantly higher in the failed weaning group compared to the successful weaning group. The area under the ROC curves (AUCs) showed moderate predictive ability for the TFC in predicting weaning failure (AUC [95% confidence interval] 0.69 [0.57–0.8], cutoff value > 50 kΩ(−1)), while the predictive ability of TFC was excellent in the subgroup of patients with ejection fraction < 40% (AUC [95% confidence interval 0.93 [0.72–1], cutoff value > 50 kΩ(−1)). CONCLUSIONS: Thoracic fluid content showed moderate ability for predicting weaning outcome in surgical critically ill patients. However, in the subgroup of patients with ejection fraction less than 40%, TFC above 50 kΩ(−1) has an excellent ability to predict weaning failure.",2020-03-05,"Fathy, Shymaa; Hasanin, Ahmed M.; Raafat, Mohamed; Mostafa, Maha M. A.; Fetouh, Ahmed M.; Elsayed, Mohamed; Badr, Esraa M.; Kamal, Hanan M.; Fouad, Ahmed Z.",J Intensive Care
WHO,Smart and Contactless Person Identification System in the COVID 19 Pandemic Process,"The Covid 19 Pandemic has had an impact on many aspects of our daily lives such as Restricting contact through touch, wearing masks, practicing social distancing, staying indoors which has led to change in our behaviors and prioritized the importance of safety hygiene. We travel to different places such as Schools, Colleges, Restaurants, offices, and Hospitals. How do we adapt to these changes and refrain from getting the virus? Luckily, we have the technology to aid us. We are all used to biometric systems for marking our Presence/ Attendance in places like colleges, Offices, and Schools with fingerprint sensors, fingerprint sensors use our Fingerprint to mark our presence however Covid 19 has restricted the use of touch causing problems in marking attendance. One way to resolve the problem is using Artificial Intelligence by using a Recognizer to identify people with their face and iris features. We implement the Face Recognition and the Iris Recognition using two models which run concurrently, one to Recognize the Face by extracting the features of the face and passing the 128-d points to the Neural Network (Mobile net and Resnet Architecture). which gives the identity of the person whose image was matched with the trained database and the other by extracting iris features to recognize people. For extracting iris features we use the Gabor filter to extract features from the eyes which are then matched in the database for recognition using 3 distance-based matching algorithms city block distance, Euclidean distance, and cosine distance which gives an accuracy of 88.19%, 84.95%, and 85.42% respectively. The face Recognizer model yields an Accuracy of 98%, while Iris Recognizer yields an accuracy of 88%. When these models run concurrently it yields an accuracy of 92.4%. © 2021 IEEE.",2021,"Srivatsan, M.; Sathyanarayanan, A.; Meenakshi, K.; Vadivu, G.; Hsiu Chun, Hsu","4th International Conference on Computing and Communications Technologies, ICCCT 2021"
WHO,The impact of Coronavirus disease 2019 (COVID-19) pandemic on migraine disorder,"OBJECTIVE: To evaluate the impact of the Coronavirus disease of 2019 (COVID-19) pandemic on patients with migraine. METHODS: Self-reported data from a migraine tracking smartphone application, Migraine Buddy, were used. Data were collected from users who reported at least one attack in the Jan, Feb, Mar and Apr of 2018, 2019 and 2020. In addition, a survey was conducted to evaluate the impact of COVID-19 on migraine management. RESULTS: On average, data from 124,717 users per month (mean age 36.3 ± 10.9 years and 89% female) were collected. Overall, the mean frequency of migraine headache was higher in 2020 than in 2019 and higher in 2019 than in 2018. The four commonest headache triggers in 2018, 2019 and 2020 were stress in 39.7, 38.4 and 36.1%, lack of sleep in 25, 25 and 22.8%, neck pain, 20, 20.4 and 19.3 and anxiety in 19, 18.4 and 18.4% of participants, respectively. 1689 users participated in the survey and they reported that they preferred face-to-face (54.29%) to telehealth (11.9%) consultations. CONCLUSION: An increase in migraine frequency from 2018 to 2020 was reported by the users of the mobile phone. This could reflect a real increase or change in reporting habits. Stress, lack of sleep, neck pain and anxiety were the commonest attack triggers. The frequency of these triggers decreased slightly in 2020 compared to 2019 and 2018. An increase in telehealth consultations with specialists was reported in the survey but migraine patients preferred face-to-face consultations.",2021,"Haghdoost, Faraidoon; Carcel, Cheryl; Chandrasekhar, Deepak; Rodgers, Anthony; Delcourt, Candice",J. neurol
Elsevier; Medline; PMC,SARS in Singapore: surveillance strategies in a globalising city,"Public health measures employed to fight against the spread of SARS need to be guided by biomedical knowledge as well as an understanding of the social science aspects of the disease. Using Singapore as a case study, we explore how the state constructs the disease and implements measures targeted at creating a ring of defense around the island and using surveillance to monitor and prevent its spread. While there is support, there is also resentment among some Singaporeans who complain that their right to privacy has been invaded and that over surveillance may have actually occurred. Marginalisation and discrimination have not only affected the local population but in this open economy which is striving to achieve global city status, businesses, tourism, foreign talent, foreign contract workers and foreign students studying in Singapore have also been negatively affected. While Singapore has been applauded by WHO and used as an example of quick and effective response, a holistic approach to the management of infectious disease must address the social implications of strategies that are drawn from medical knowledge alone because it impinges on the social lives of people and how people interact with each other under stressful circumstances.",2004-12-07,"Teo, Peggy; Yeoh, Brenda S.A.; Ong, Shir Nee",Health Policy
WHO,Public and health policy for the aged in Africa to the South of Saara,"OBJECTIVE: to know the social and health responses for the elderly in sub-Saharan Africa. METHODS: An integrative literature review. RESULTS: There is a lack of specialized health care to meet the real needs of the elderly, and the shortage of health professionals does not contribute favorably to this situation. There is a small number of facilities for the elderly and most of them are inadequate. Although there are models of care as well as social and health support policies for the elderly, there are still inequities/inequalities in access to these policies, especially for the most disadvantaged populations. CONCLUSION: Social and health policies for the elderly in Sub-Saharan Africa are below standard and appropriate economic, political and social intervention is required.",2020,"Assunção, Marta Regina Soares de; Pinto, Susana Isabel Mendes; José, Helena Maria Guerreiro",Rev Bras Enferm
Medline; PMC,International Brazilian Journal of Urology Is the Official Information Journal of the American Confederation of Urology - CAU,,2021-02-03,,International braz j urol : official journal of the Brazilian Society of Urology
WHO,"Basketball jones: Fan passion, motives, and reactions to the suspension of the National Basketball Association season due to COVID-19","The suspension of the 2019–2020 National Basketball Association (NBA) season due to the COVID-19 pandemic meant that NBA fans were unable to engage in an activity that they loved in the midst of a global health crisis In this research, we assessed if fan responses to the suspension were associated with different types of fan passion and motives Shortly after the NBA season suspension, NBA fans (N = 395) completed online surveys assessing harmonious and obsessive passion for being an NBA fan, motives for watching games, and various attitudes and responses to the suspension We found that both fan passion and motives predicted responses to the suspension, particularly obsessive passion which predicted greater levels of distress, coping responses, and negative attitudes toward the suspension These findings have implications for both the passion and fan motives literatures © 2021 Elsevier Ltd",2021,"Schellenberg, B.; Verner-Filion, J.; Quach, A.; Bailis, D.",Psychology of Sport and Exercise
WHO,Therapeutic Effectiveness of Interferon-α2b Against COVID-19: The Cuban Experience,"A prospective observational study was conducted for assessing the therapeutic efficacy of interferon (IFN)-&#945;2b in patients infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) during the first month after the coronavirus disease 2019 (COVID-19) outbreak began in Cuba. From March 11th to April 14th, 814 patients were confirmed SARS-CoV-2 positive in Cuba. Seven hundred sixty-one (93.4%) were treated with a combination of oral antivirals (lopinavir/ritonavir and chloroquine) with intramuscular administration of IFN-&#945;2b (Heberon® Alpha R, Center for Genetic Engineering and Biotechnology, Havana, Cuba), 3 times per week, for 2 weeks. Fifty-three patients received the approved COVID protocol without IFN treatment. The proportion of patients discharged from hospital (without clinical and radiological symptoms and nondetectable virus by real-time polymerase chain reaction) was higher in the IFN-treated compared with the non-IFN treated group (95.4% vs. 26.1%, P < 0.01). The case fatality rate (CFR) for all patients was 2.95%, and for those patients who received IFN-&#945;2b the CFR was reduced to 0.92. Intensive care was required for 82 patients (10.1%), 42 (5.5%) had been treated with IFN. This report provides preliminary evidence for the therapeutic effectiveness of IFN-&#945;2b for COVID-19 and suggests that the use of Heberon Alpha R may contribute to complete recovery of patients.",2020,"Pereda, Ricardo; González, Daniel; Rivero, Hubert Blas; Rivero, Juan Carlos; Pérez, Albadio; López, Lissette Del Rosario; Mezquia, Natacha; Venegas, Rafael; Betancourt, Julio Roberto; Domínguez, Rodolfo Emilio",J Interferon Cytokine Res
WHO,COVID-Well Study: Qualitative Evaluation of Supported Wellbeing Centres and Psychological First Aid for Healthcare Workers during the COVID-19 Pandemic,"Supported wellbeing centres were set up in UK hospital trusts as an early intervention aimed at mitigating the psychological impact of COVID-19 on healthcare workers. These provided high quality rest spaces with peer-to-peer psychological support provided by National Health Service (NHS) staff volunteers called 'wellbeing buddies', trained in psychological first aid. The aim of the study was to explore the views of centre visitors and operational staff towards this COVID-19 workforce wellbeing provision. Qualitative semi-structured interviews were undertaken with twenty-four (20F, 4M) employees from an acute hospital trust in the UK. Interviews were digitally recorded and transcribed, data were handled and analysed using thematic analysis. Interviews generated 3 over-arching themes, and 13 sub-themes covering 'exposure and job roles', 'emotional impacts of COVID-19 and 'the wellbeing centres'. Supported wellbeing centres were viewed as critical for the wellbeing of hospital employees during the first surge of COVID-19 in the UK. Wellbeing initiatives require managerial advocacy and must be inclusive. Job-related barriers to work breaks and accessing staff wellbeing provisions should be addressed. High quality rest spaces and access to peer-to-peer support are seen to benefit individuals, teams, organisations and care quality. Training NHS staff in psychological first aid is a useful approach to supporting the wellbeing of the NHS workforce during and beyond the COVID-19 pandemic.",2021,"Blake, Holly; Gupta, Alisha; Javed, Mahnoor; Wood, Ben; Knowles, Steph; Coyne, Emma; Cooper, Joanne",Int. j. environ. res. public health (Online)
Medline,Maternal solitude before the new guidelines in SARS-COV-2 times: a Brazilian cutting.,"AIM To reflect on the lonely experience of women during the pregnancy-puerperal cycle in times of pandemic by the SARS-CoV-2 virus. METHOD Theoretical-reflective study on the new Brazilian guidelines for care for women during pregnancy, childbirth and postpartum in times of Covid-19 and its influence on the exacerbation of maternal loneliness. The discussion about the transformations of women in this period refers to Maldonado's studies. RESULTS Motherhood is a lonely process for women. The new technical norms that are in force bring important changes in the assistance to this cycle, mainly with regard to the importance of social distance, which intensifies the feeling of loneliness and helplessness. FINAL CONSIDERATIONS This reflection can guide health professionals, especially the work of nurses in the scope of obstetrics, so that during the assistance to women in the pregnancy-puerperal cycle, they pay attention to the subtlety of feelings of loneliness that can interfere with maternal well-being fetal.",2021,"Paixão, Gilvânia Patrícia do Nascimento; Campos, Luana Moura; Carneiro, Jordana Brock; Fraga, Chalana Duarte de Sena",Revista gaucha de enfermagem
WHO,The Methodology and Application of a Migration with Dignity Framework,"The scale of migration is increasing, and while great uncertainty exists in identifying exact numbers, the estimated number of international migrants is already surpassing 2050 projections in the order of 2.6%, or 230 million. As people migrate, they face a number of challenges including exposure to disease and other health threats, violence and assualt, trafficking and unlawful detention. However, of the protections avail-able to migrants, the implementation and realization of these protections and how they impact the individual experiences of migrants and their loss of human rights and dignity rights across the migration cycle, are lacking. In acknowledgement of this, McClain et al. developed a legal and policy framework for Migration with Dignity, which identified six fundamental elements central to the migration experience that can supplement and support the implementation of migrant protections. The framework was built upon the foundational policy of former President of Kiribati, Anote Tong, who understood the climate change was impacting the lives and livelihoods of his people and that in the face of diminishing land area and opportunities, that the Kiribati should have the opportunity to determine when and how they migrate, and that in doing so that they are able to live a life that is equal to or better than the one they left behind. The Migration with Dignity framework offers an opportunity to provide policy and legal options to governments, policy makers, and NGO’s for how to improve to consider the dignity of migrants while they move, and improve the transition of migrants into new set-tings, while also fostering opportunities for improved livelihoods. However, in order to provide these opportunities, the framework would benefit from additional application of the fundamental elements across different contexts and in different settings. With this in mind, this article provides the necessary methodology for considering the social and legal dimensions of the framework, it also provides examples for how to apply the framework across multiple contexts. © Fuji Technology Press Ltd.",2022,"McClain, S. N.; Bruch, C.; Fujii, M.",Journal of Disaster Research
WHO,Entrepreneurial orientation and firm performance in a sanctioned economy – does the CEO play a role?,"Purpose: Entrepreneurship, in many low-resilient economies, plays a critical role in overcoming external shocks Thus, it is crucial in such situation that entrepreneurial firms can survive and even grow so that the whole economy can benefit from a higher level of resilience The purpose of this study is to understand how entrepreneurial orientation (EO) brings about firms' performance through the moderating role of CEOs' self-transcendence values in the context of a low-resilient sanctioned economy Design/methodology/approach: This is a quantitative research that employs hierarchical regression analysis of a sample of 114 Iranian entrepreneurial firms composed of 62 knowledge-based and 52 creative firms Findings: The analysis revealed that in the low-resilient sanctioned economy, Iran, EO-performance link is moderated by the level of CEOs' self-transcendence value, that is, higher level of CEO self-transcendence leads to stronger impact of EO on performance This moderation is not different in creative sector vs knowledge-based sector of the economy Originality/value: This paper addresses a major gap in the traditional EO-performance relationship which is related to the role of CEO values Also, the context of Iran's low level of economic resilience adds more novelty to this study, emphasizing on the role of CEO personal values of self-transcendence in times of crisis The results could also be generalized in many economies now facing the COVID-19 pandemic crisis during which CEOs' self-transcendence values are vitally important in overcoming the difficulties of doing business in such situation © 2020, Emerald Publishing Limited",2020,"Cannavale, C.; Zohoorian Nadali, I.; Esempio, A.",Journal of Small Business and Enterprise Development
WHO,Learning progress in university students associated with disruptive innovation of metacognitive strategies in times of COVID-19,"The use of information and communication technologies, have become a necessary resource for teaching and learning in the current era, this article aims to present the results of the relationship between metacognitive strategies and the progress of learning in university students, in a social interaction based on digital technology resources in times of COVID-19. The study sample was made up of 200 students from the Faculty of Education Sciences and Humanities of the public University of the city of Ica-Peru, selected through non-probabilistic sampling. The methodology that was used was descriptive correlational, with a non-experimental design;In data collection, the MAI ""Metacognitive Awareness Inventory""instrument was applied, which consists of 52 items and the document analysis technical sheet for the students' learning progress. Likewise, to find the association of the variables, statistical analysis was used which, according to the results obtained, it was shown that there is a statistically significant relationship between metacognitive strategies and the learning progress of university students. © 2021 ACM.",2021,"Elizabeth Arones Mayuri, M.; Rosa Godoy Pereyra, Y.; De La Cruz, J. G. E.; Alberto Guerrero Salazar, F.","7th International Conference on Education and Training Technologies, ICETT 2021"
MedRxiv; Medline; PMC; WHO,A Caveat to Using Wearable Sensor Data for COVID-19 Detection: The Role of Behavioral Change after Receipt of Test Results,"Recent studies indicate that wearable sensors have the potential to capture subtle within-person changes that signal SARS-CoV-2 infection. However, it remains unclear the extent to which observed discriminative performance is attributable to behavioral change after receiving test results. We conducted a retrospective study in a sample of medical interns who received COVID-19 test results from March to December 2020. Our data confirmed that sensor data were able to differentiate between symptomatic COVID-19 positive and negative individuals with good accuracy (area under the curve (AUC) = 0.75). However, removing post-result data substantially reduced discriminative capacity (0.75 to 0.63; delta= −0.12, p=0.013). Removing data in the symptomatic period prior to receipt of test results did not produce similar reductions in discriminative capacity. These findings suggest a meaningful proportion of the discriminative capacity of wearable sensor data for SARS-CoV-2 infection may be due to behavior change after receiving test results.",2021-04-22,"Cleary, Jennifer L.; Fang, Yu; Sen, Srijan; Wu, Zhenke",medRxiv
Elsevier; Medline; PMC; WHO,How do policy levers shape the quality of a national health system?,"Poor quality of care may have a detrimental effect on access and take-up and can become a serious barrier to the universality of health services. This consideration is of particular interest in view of the fact that health systems in many countries must address a growing public-sector deficit and respond to increasing pressures due to COVID-19 and aging population, among other factors. In line with a rapidly emerging literature, we focus on patient satisfaction as a proxy for quality of health care. Drawing on rich longitudinal and cross-sectional data for Spain and multilevel estimation techniques, we show that in addition to individual level differences, policy levers (such as public health spending and the patient-doctor ratio, in particular) exert a considerable influence on the quality of a health care system. Our results suggest that policymakers seeking to enhance the quality of care should be cautious when compromising the level of health resources, and in particular, health personnel, as a response to economic downturns in a sector that traditionally had insufficient human resources in many countries, which have become even more evident in the light of the current health crisis. Additionally, we provide evidence that the increasing reliance on the private health sector may be indicative of inefficiencies in the public system and/or the existence of features of private insurance which are deemed important by patients.",2021-10-21,"García-Corchero, Juan David; Jiménez-Rubio, Dolores",J Policy Model
WHO,IS faculty perspectives on the impacts and implications of the COVID-19 pandemic for IS teaching and research,,2020,"Watson, R. T.; Galletta, D.; Junglas, I.; Kokuryo, J.; Kruse, L. C.; Mathew, S.; Mills, A.","Int. Conf. Inf. Syst., ICIS - Mak. Digit. Incl.: Blending Local Glob."
Medline; PMC,Cross-sectional Assessment of COVID-19 Vaccine Acceptance Among Health Care Workers in Los Angeles,,2021-02-09,"Gadoth, Adva; Halbrook, Megan; Martin-Blais, Rachel; Gray, Ashley; Tobin, Nicole H.; Ferbas, Kathie G.; Aldrovandi, Grace M.; Rimoin, Anne W.",Ann Intern Med
Medline; PMC; WHO,Gendering boundary work: Experiences of work–family practices among Finnish working parents during COVID‐19 lockdown,"In the spring of 2020, the COVID‐19 outbreak and governmental lockdowns changed the everyday lives of families with children worldwide. Due to remote work recommendations and the closing of school premises and childcare centers, work–family boundaries became blurred in many families. In this study, we examine the possibly gendered boundary work practices among Finnish parents during the COVID‐19 lockdown in spring 2020 by asking, how do parents perceive the blurring of work–family boundaries? What kind of boundary work practices did families develop to manage their work and family roles, and were these practices gendered and how? Boundary practices are analyzed by combining theories of doing boundaries and gender theories in the context of the COVID‐19 pandemic and applying them to survey data. The results revealed that during lockdown, both spatial and temporal boundaries blurred or partly disappeared, and boundary practices developed by families were highly gendered. Especially in families where childcare practices had been gendered already before the lockdown, it was predominantly mothers, who shouldered the main responsibility of increased childcare and struggled to manage their work duties. Hence, families had varying means to cope with blurring boundaries based on their ability to switch to remote work, but also on their work–family practices before the pandemic.",2021-11-13,"Otonkorpi‐Lehtoranta, Katri; Salin, Milla; Hakovirta, Mia; Kaittila, Anniina",Gend Work Organ
Medline; PMC,Spatiotemporal Characteristics of COVID-19 Epidemic in the United States,"BACKGROUND: A range of near-real-time online/mobile mapping dashboards and applications have been used to track the COVID-19 pandemic worldwide. It remains unknown about small area-based spatiotemporal patterns of COVID-19 in the United States. METHODS: We obtained county-based counts of COVID-19 cases confirmed in the United States from January 22 to May 13, 2020 (N=1,386,050). We characterized the dynamics of COVID-19 epidemic through detecting weekly hotspots of newly confirmed cases using Spatial and Space-Time Scan Statistics and quantifying the trends of incidence of COVID-19 by county characteristics using the Joinpoint analysis. RESULTS: Along with the national plateau reached in early April, COVID-19 incidence significantly decreased in the Northeast (estimated weekly percentage changes [EWPC]: -16.6%), but remained increasing in the Midwest, South and West Regions (EWPCs: 13.2%, 5.6%, and 5.7%, respectively). Higher risks of clustering and incidence of COVID-19 were consistently observed in metropolitan vs rural counties, counties closest to core airports, most populous counties, and counties with highest proportion of racial/ethnic minority counties. However, geographic differences in the incidence have shrunk since early April, driven by a significant decrease in the incidence in these counties (EWPC range: -2.0% – -4.2%) and a consistent increase in other areas (EWPC range: 1.5% – 20.3%). CONCLUSIONS: To substantially decrease the nationwide incidence of COVID-19, strict social distancing measures should be continuously implemented, especially in geographic areas with increasing risks, including rural areas. Spatiotemporal characteristics and trends of COVID-19 should be considered in decision-making on the timeline of re-opening for states and localities.",2020-07-08,"Wang, Yun; Liu, Ying; Struthers, James; Lian, Min",Clin Infect Dis
Medline,Effective method of gallbladder retraction for single-incision laparoscopic cholecystectomy.,"INTRODUCTION Recently, single-incision laparoscopic cholecystectomy has been accepted as an alternative to conventional laparoscopic cholecystectomy. The aim of this study was to retrospectively evaluate the safety and feasibility of unique gallbladder retraction methods using an ENDOLOOP® (Ethicon, Tokyo, Japan) and Lapaherclosure™ (Hakko Medical, Tokyo, Japan). MATERIALS AND SURGICAL TECHNIQUE From May 2013 to April 2015, 77 patients underwent single-incision laparoscopic cholecystectomy with this retraction technique. During the same period, conventional laparoscopic cholecystectomy was performed in 85 patients; these patients were the control group. The patients' data, including the operative time, total blood loss, conversion rate to laparotomy, and perioperative complications, were compared. Alexis® Wound Retractor XS (Applied Medical, Tokyo, Japan) was inserted through a 25-30-mm vertical transumbilical incision to prevent bile contamination. Next, a SILS Port (Covidien, Tokyo, Japan) was inserted. A flexible 5-mm laparoscope was inserted through the port with a grasper (SILS Clinch, Covidien) and a normal 5-mm scalpel. The fundus of the gallbladder was tied by the ENDOLOOP. The Lapaherclosure was then directly inserted through a right lower intercostal space to capture and pull the Lapaherclosure out. After the cystic artery and duct were cut, the resected gallbladder was directly extracted from the umbilical incision. DISCUSSION Several methods and devices have been developed to perform single-incision laparoscopic cholecystectomy, including the suturing method, the Mini Loop Retractor II (Covidien), and the EndoGrab (Virtual Ports, Caesarea, Israel). However, considering medical costs and safety, our retraction method seems to be feasible and comparable to existing methods.",2019,"Funamizu, Naotake; Okamoto, Tomoyoshi; Kumamoto, Tomotaka; Kazama, Takashi; Watanabe, Atsushi; Fujioka, Shuichi; Yanaga, Katsuhiko",Asian journal of endoscopic surgery
WHO,What Can We Learn from the Time Evolution of COVID-19 Epidemic in Slovenia?,"A recent work indicates that temporarily splitting larger populations into smaller groups can efficiently mitigate the spread of SARS-CoV-2 virus. The fact that, soon afterward, the two million people Slovenia was the first European country proclaiming the end of COVID-19 epidemic within national borders may be relevant from this perspective. Motivated by this evolution, in this paper the time dynamics of coronavirus cases in Slovenia is investigated with emphasis on how efficient various containment measures act to diminish the number of COVID-19 infections. Noteworthily, the present analysis does not rely on any speculative theoretical assumption; it is solely based on raw epidemiological data. Out of the results presented here, the most important one is perhaps the finding that, while imposing drastic curfews and travel restrictions reduce the infection rate &#954; by a factor of four with respect to the unrestricted state, they only improve the &#954;-value by &#8776;15% as compared to the much bearable state of social and economic life wherein wearing face masks and social distancing rules are enforced/followed. Significantly for behavioral and social science, our analysis may reveal an interesting self-protection instinct of the population, which became manifest even before the official lockdown enforcement.",2021,"Bâldea, Ioan",Adv Theory Simul
